Strategy1,Year,Fuel1,Specified Annual Demand
PNE & PNETh,2028,Transport Demand Passenger No Motorize,0.2985
PNE & PNETh,2029,Transport Demand Passenger No Motorize,0.4177
PNE & PNETh,2030,Transport Demand Passenger No Motorize,0.5793
PNE & PNETh,2031,Transport Demand Passenger No Motorize,0.7945
PNE & PNETh,2032,Transport Demand Passenger No Motorize,1.0741
PNE & PNETh,2033,Transport Demand Passenger No Motorize,1.4265
PNE & PNETh,2034,Transport Demand Passenger No Motorize,1.8547
PNE & PNETh,2035,Transport Demand Passenger No Motorize,2.3533
PNE & PNETh,2036,Transport Demand Passenger No Motorize,2.907
PNE & PNETh,2037,Transport Demand Passenger No Motorize,3.4926
PNE & PNETh,2038,Transport Demand Passenger No Motorize,4.0827
PNE & PNETh,2039,Transport Demand Passenger No Motorize,4.6522
PNE & PNETh,2040,Transport Demand Passenger No Motorize,5.182
PNE & PNETh,2041,Transport Demand Passenger No Motorize,5.6618
PNE & PNETh,2042,Transport Demand Passenger No Motorize,6.0891
PNE & PNETh,2043,Transport Demand Passenger No Motorize,6.467
PNE & PNETh,2044,Transport Demand Passenger No Motorize,6.8019
PNE & PNETh,2045,Transport Demand Passenger No Motorize,7.1013
PNE & PNETh,2046,Transport Demand Passenger No Motorize,7.3727
PNE & PNETh,2047,Transport Demand Passenger No Motorize,7.6226
PNE & PNETh,2048,Transport Demand Passenger No Motorize,7.8565
PNE & PNETh,2049,Transport Demand Passenger No Motorize,8.079
PNE & PNETh,2050,Transport Demand Passenger No Motorize,8.2935
