Fuel;Strategy;Year;SpecifiedAnnualDemand
Transport Demand Freigth Heavy;SR20&SR15;2032;29.1504
Transport Demand Freigth Heavy;SR20&SR15;2033;29.58043333
Transport Demand Freigth Heavy;SR20&SR15;2034;30.01046667
Transport Demand Freigth Heavy;SR20&SR15;2035;30.4405
Transport Demand Freigth Heavy;SR20&SR15;2036;30.87053333
Transport Demand Freigth Heavy;SR20&SR15;2037;31.30056667
Transport Demand Freigth Heavy;SR20&SR15;2038;31.7306
Transport Demand Freigth Heavy;SR20&SR15;2039;32.16063333
Transport Demand Freigth Heavy;SR20&SR15;2040;32.59066667
Transport Demand Freigth Heavy;SR20&SR15;2041;33.0207
Transport Demand Freigth Heavy;SR20&SR15;2042;33.45073333
Transport Demand Freigth Heavy;SR20&SR15;2043;33.88076667
Transport Demand Freigth Heavy;SR20&SR15;2044;34.3108
Transport Demand Freigth Heavy;SR20&SR15;2045;34.74083333
Transport Demand Freigth Heavy;SR20&SR15;2046;35.17086667
Transport Demand Freigth Heavy;SR20&SR15;2047;35.6009
Transport Demand Freigth Heavy;SR20&SR15;2048;36.03093333
Transport Demand Freigth Heavy;SR20&SR15;2049;36.46096667
Transport Demand Freigth Heavy;SR20&SR15;2050;36.891
Transport Demand Freigth Light;SR20&SR15;2015;6.1127
Transport Demand Freigth Light;SR20&SR15;2016;6.3777
Transport Demand Freigth Light;SR20&SR15;2017;6.5712
Transport Demand Freigth Light;SR20&SR15;2018;6.7646
Transport Demand Freigth Light;SR20&SR15;2019;6.951
Transport Demand Freigth Light;SR20&SR15;2020;7.1444
Transport Demand Freigth Light;SR20&SR15;2021;7.3378
Transport Demand Freigth Light;SR20&SR15;2022;7.5241
Transport Demand Freigth Light;SR20&SR15;2023;7.7176
Transport Demand Freigth Light;SR20&SR15;2024;7.9111
Transport Demand Freigth Light;SR20&SR15;2025;8.1045
Transport Demand Freigth Light;SR20&SR15;2026;8.2441332
Transport Demand Freigth Light;SR20&SR15;2027;8.3837664
Transport Demand Freigth Light;SR20&SR15;2028;8.5233996
Transport Demand Freigth Light;SR20&SR15;2029;8.6630328
Transport Demand Freigth Light;SR20&SR15;2030;8.802666
Transport Demand Freigth Light;SR20&SR15;2031;8.9422992
Transport Demand Freigth Light;SR20&SR15;2032;9.0819324
Transport Demand Freigth Light;SR20&SR15;2033;9.2215656
Transport Demand Freigth Light;SR20&SR15;2034;9.3611988
Transport Demand Freigth Light;SR20&SR15;2035;9.500832
Transport Demand Freigth Light;SR20&SR15;2036;9.6404652
Transport Demand Freigth Light;SR20&SR15;2037;9.7800984
Transport Demand Freigth Light;SR20&SR15;2038;9.9197316
Transport Demand Freigth Light;SR20&SR15;2039;10.0593648
Transport Demand Freigth Light;SR20&SR15;2040;10.198998
Transport Demand Freigth Light;SR20&SR15;2041;10.3386312
Transport Demand Freigth Light;SR20&SR15;2042;10.4782644
Transport Demand Freigth Light;SR20&SR15;2043;10.6178976
Transport Demand Freigth Light;SR20&SR15;2044;10.7575308
Transport Demand Freigth Light;SR20&SR15;2045;10.897164
Transport Demand Freigth Light;SR20&SR15;2046;11.0367972
Transport Demand Freigth Light;SR20&SR15;2047;11.1764304
Transport Demand Freigth Light;SR20&SR15;2048;11.3160636
Transport Demand Freigth Light;SR20&SR15;2049;11.4556968
Transport Demand Freigth Light;SR20&SR15;2050;11.59533
