Strategy1,Year1,Fuel1,Specified Annual Demand
NDP,2023,Transport Demand Freigth Light,7.7176
NDP,2024,Transport Demand Freigth Light,7.9111
NDP,2025,Transport Demand Freigth Light,8.1045
NDP,2026,Transport Demand Freigth Light,8.2441
NDP,2027,Transport Demand Freigth Light,8.3838
NDP,2028,Transport Demand Freigth Light,8.5234
NDP,2029,Transport Demand Freigth Light,8.663
NDP,2030,Transport Demand Freigth Light,8.8027
NDP,2031,Transport Demand Freigth Light,8.9423
NDP,2032,Transport Demand Freigth Light,9.0819
NDP,2033,Transport Demand Freigth Light,9.2216
NDP,2034,Transport Demand Freigth Light,9.3612
NDP,2035,Transport Demand Freigth Light,9.5008
NDP,2036,Transport Demand Freigth Light,9.6405
NDP,2037,Transport Demand Freigth Light,9.7801
NDP,2038,Transport Demand Freigth Light,9.9197
NDP,2039,Transport Demand Freigth Light,10.0594
NDP,2040,Transport Demand Freigth Light,10.199
NDP,2041,Transport Demand Freigth Light,10.3386
NDP,2042,Transport Demand Freigth Light,10.4783
NDP,2043,Transport Demand Freigth Light,10.6179
NDP,2044,Transport Demand Freigth Light,10.7575
NDP,2045,Transport Demand Freigth Light,10.8972
NDP,2046,Transport Demand Freigth Light,11.0368
NDP,2047,Transport Demand Freigth Light,11.1764
NDP,2048,Transport Demand Freigth Light,11.3161
NDP,2049,Transport Demand Freigth Light,11.4557
NDP,2050,Transport Demand Freigth Light,11.5953
NDP,2015,Transport Demand Freigth Heavy,20.87
NDP,2016,Transport Demand Freigth Heavy,21.73
NDP,2017,Transport Demand Freigth Heavy,22.29
NDP,2018,Transport Demand Freigth Heavy,22.86
NDP,2019,Transport Demand Freigth Heavy,23.43
NDP,2020,Transport Demand Freigth Heavy,23.99
NDP,2021,Transport Demand Freigth Heavy,24.42
NDP,2022,Transport Demand Freigth Heavy,24.8501
NDP,2023,Transport Demand Freigth Heavy,25.2801
NDP,2024,Transport Demand Freigth Heavy,25.7101
NDP,2025,Transport Demand Freigth Heavy,26.1402
NDP,2026,Transport Demand Freigth Heavy,26.5702
NDP,2027,Transport Demand Freigth Heavy,27.0002
NDP,2028,Transport Demand Freigth Heavy,27.4303
NDP,2029,Transport Demand Freigth Heavy,27.8603
NDP,2030,Transport Demand Freigth Heavy,28.2903
NDP,2031,Transport Demand Freigth Heavy,28.7204
NDP,2032,Transport Demand Freigth Heavy,29.1504
NDP,2033,Transport Demand Freigth Heavy,29.5804
NDP,2034,Transport Demand Freigth Heavy,30.0105
NDP,2035,Transport Demand Freigth Heavy,30.4405
NDP,2036,Transport Demand Freigth Heavy,30.8705
NDP,2037,Transport Demand Freigth Heavy,31.3006
NDP,2038,Transport Demand Freigth Heavy,31.7306
NDP,2039,Transport Demand Freigth Heavy,32.1606
NDP,2040,Transport Demand Freigth Heavy,32.5907
NDP,2041,Transport Demand Freigth Heavy,33.0207
NDP,2042,Transport Demand Freigth Heavy,33.4507
NDP,2043,Transport Demand Freigth Heavy,33.8808
NDP,2044,Transport Demand Freigth Heavy,34.3108
NDP,2045,Transport Demand Freigth Heavy,34.7408
NDP,2046,Transport Demand Freigth Heavy,35.1709
NDP,2047,Transport Demand Freigth Heavy,35.6009
NDP,2048,Transport Demand Freigth Heavy,36.0309
NDP,2049,Transport Demand Freigth Heavy,36.461
NDP,2050,Transport Demand Freigth Heavy,36.891
